sample	qPCR
10a	1.35E+09
10b	
10c	
11a	9.97E+08
11b	
11c	
12a	8.56E+08
12b	
12c	
13a	1.41E+09
13b	
13c	
14a	8.55E+08
14b	
14c	
15a	8.26E+08
15b	
15c	
16a	7.63E+08
16b	
16c	
18a	1.54E+09
18b	
18c	
19a	1.73E+09
19b	
19c	
20a	1.09E+09
20b	
20c	
21a	1.53E+09
21b	
21c	
22a	1.28E+09
22b	
22c	
23a	8.11E+08
23b	
23c	
24a	1.36E+09
24b	
24c	
26a	1.36E+09
26b	
26c	
27a	1.05E+09
27b	
27c	
29a	9.06E+08
29b	
29c	
2a	2.07E+09
2b	
2c	
30a	1.27E+09
30b	
30c	
30Oct2018_CalHG	
30Oct2018_PCRwater	
30Oct2018_Zymo	
31a	1.73E+09
31b	
31c	
32a	1.82E+09
32b	
32c	
33a	8.60E+08
33b	
33c	
34a	9.24E+08
34b	
34c	
35a	7.58E+08
35b	
35c	
36a	1.36E+09
36b	
36c	
37a	1.01E+09
37b	
37c	
38a	1.68E+09
38b	
38c	
39a	2.28E+09
39b	
39c	
41a	1.49E+09
41b	
41c	
42a	8.77E+08
42b	
42c	
43a	1.07E+09
43b	
43c	
44a	1.21E+09
44b	
44c	
45a	1.04E+09
45b	
45c	
46a	1.55E+09
46b	
46c	
47a	1.80E+09
47b	
47c	
48a	1.67E+09
48b	
48c	
49a	1.46E+09
49b	
49c	
4a	1.32E+09
4b	
4c	
50a	1.21E+09
50b	
50c	
51a	1.47E+09
51b	
51c	
52a	1.08E+09
52b	
52c	
54a	1.92E+09
54b	
54c	
55a	1.57E+09
55b	
55c	
56a	1.21E+09
56b	
56c	
57a	1.79E+09
57b	
57c	
58a	2.02E+09
58b	
58c	
63a	2.10E+09
63b	
63c	
6Sep2018ARDECcheck	
6Sep2018ARDECDM	
6Sep2018Cal1	
6Sep2018Cal7	
6Sep2018ZymoA	
6Sep2018ZymoB	
72a	1.08E+09
72b	
72c	
73a	2.27E+09
73b	
73c	
74a	2.74E+09
74b	
74c	
75a	1.63E+09
75b	
75c	
76a	1.35E+09
76b	
76c	
77a	8.87E+08
77b	
77c	
9.14.18_CalEX.D	
9.14.18_CalHG.D	
9.14.18_PCRWater.D	
9.14.18_Zymo.D	
9a	8.27E+08
9b	
9c	
ARSI1.40.1	9.99E+08
ARSI1.40.2	
ARSI1.40.3	
