SampleID	PLFA_ID
NRCS1	SHI-0001
NRCS2	SHI-0002
NRCS3	SHI-0003
NRCS4	SHI-0004
NRCS5	SHI-0005
NRCS6	SHI-0006
NRCS7	SHI-0007
NRCS8	SHI-0008
NRCS9	SHI-0009
NRCS10	SHI-0010
NRCS11	SHI-0011
NRCS12	SHI-0012
NRCS13	SHI-0013
NRCS14	SHI-0014
NRCS15	SHI-0015
NRCS16	SHI-0016
NRCS17	SHI-0017
NRCS18	SHI-0018
NRCS19	SHI-0019
NRCS20	SHI-0020
NRCS21	SHI-0021
NRCS22	SHI-0022
NRCS23	SHI-0023
NRCS24	SHI-0024
NRCS25	SHI-0025
NRCS26	SHI-0026
NRCS27	SHI-0027
NRCS28	SHI-0028
NRCS29	SHI-0029
NRCS30	SHI-0030
NRCS31	SHI-0031
NRCS32	SHI-0032
NRCS33	SHI-0033
NRCS34	SHI-0034
NRCS35	SHI-0035
NRCS36	SHI-0036
NRCS37	SHI-0037
NRCS38	SHI-0038
NRCS39	SHI-0039
NRCS40	SHI-0040
NRCS41	SHI-0041
NRCS42	SHI-0042
NRCS43	SHI-0043
NRCS44	SHI-0044
NRCS45	SHI-0045
NRCS46	SHI-0046
NRCS47	SHI-0047
NRCS48	SHI-0048
NRCS49	SHI-0049
NRCS50	SHI-0050
NRCS51	SHI-0051
NRCS52	SHI-0052
NRCS53	SHI-0053
NRCS54	SHI-0054
NRCS55	SHI-0055
NRCS56	SHI-0056
NRCS57	SHI-0057
NRCS58	SHI-0058
NRCS59	SHI-0059
NRCS60	SHI-0060
NRCS61	SHI-0061
NRCS62	SHI-0062
NRCS63	SHI-0063
NRCS64	SHI-0064
NRCS65	SHI-0065
NRCS66	SHI-0066
NRCS67	SHI-0067
NRCS68	SHI-0068
NRCS69	SHI-0069
NRCS70	SHI-0070
NRCS71	SHI-0071
NRCS72	SHI-0072
NRCS73	SHI-0073
NRCS74	SHI-0074
NRCS75	SHI-0075
NRCS76	SHI-0076
NRCS77	SHI-0077
NRCS78	SHI-0078
NRCS79	SHI-0079
NRCS80	SHI-0080
NRCS81	SHI-0081
NRCS82	SHI-0082
NRCS83	SHI-0083
NRCS84	SHI-0084
NRCS85	SHI-0085
NRCS86	SHI-0086
NRCS87	SHI-0087
NRCS88	SHI-0088
NRCS89	SHI-0089
NRCS90	SHI-0090
NRCS91	SHI-0091
NRCS92	SHI-0092
NRCS93	SHI-0093
NRCS94	SHI-0094
NRCS95	SHI-0095
NRCS96	SHI-0096
NRCS97	SHI-0097
NRCS98	SHI-0098
NRCS99	SHI-0099
NRCS100	SHI-0100
NRCS101	SHI-0101
NRCS102	SHI-0102
NRCS103	SHI-0103
NRCS104	SHI-0104
NRCS105	SHI-0105
NRCS106	SHI-0106
NRCS107	SHI-0107
NRCS108	SHI-0108
NRCS109	SHI-0109
NRCS110	SHI-0110
NRCS111	SHI-0111
NRCS112	SHI-0112
NRCS113	SHI-0113
NRCS114	SHI-0114
NRCS115	SHI-0115
NRCS116	SHI-0116
NRCS117	SHI-0117
NRCS118	SHI-0118
NRCS119	SHI-0119
NRCS120	SHI-0120
NRCS121	SHI-0121
NRCS122	SHI-0122
NRCS123	SHI-0123
NRCS124	SHI-0124
NRCS125	SHI-0125
NRCS126	SHI-0126
NRCS127	SHI-0127
NRCS128	SHI-0128
NRCS129	SHI-0129
NRCS130	SHI-0130
NRCS131	SHI-0131
NRCS132	SHI-0132
NRCS133	SHI-0133
NRCS134	SHI-0134
NRCS135	SHI-0135
NRCS136	SHI-0136
NRCS137	SHI-0137
NRCS138	SHI-0138
NRCS139	SHI-0139
NRCS140	SHI-0140
NRCS141	SHI-0141
NRCS142	SHI-0142
NRCS143	SHI-0143
NRCS144	SHI-0144
NRCS145	SHI-0145
NRCS146	SHI-0146
NRCS147	SHI-0147
NRCS148	SHI-0148
NRCS149	SHI-0149
NRCS150	SHI-0150
NRCS151	SHI-0151
NRCS152	SHI-0152
NRCS153	SHI-0153
NRCS154	SHI-0154
NRCS155	SHI-0155
NRCS156	SHI-0156
NRCS157	SHI-0157
NRCS158	SHI-0158
NRCS159	SHI-0159
NRCS160	SHI-0160
NRCS161	SHI-0161
NRCS162	SHI-0162
NRCS163	SHI-0163
NRCS164	SHI-0164
NRCS165	SHI-0165
NRCS166	SHI-0166
NRCS167	SHI-0167
NRCS168	SHI-0168
NRCS169	SHI-0169
NRCS170	SHI-0170
NRCS171	SHI-0171
NRCS172	SHI-0172
NRCS173	SHI-0173
NRCS174	SHI-0174
NRCS175	SHI-0175
NRCS176	SHI-0176
NRCS177	SHI-0177
