SampleID	Index	Remove.SH	Remove.SHMI	PLFA_ID	Cornell_ID	State	Site	Cluster	Trt	Field_ID	Collection_Date	Plant_Stage	Latitude	Longitude	Upper_depth	Lower_depth	Current_Land_Use	Cover_Type	Cover_Crop	Crop_Rotation	System_Years	Notes	Start_Date	Cover_0_Planting	Cover_0_Harvest	Crop_1_Planting	Crop_1_Harvest	Cover_1_Planting	Cover_1_Harvest	Crop_2_Planting	Crop_2_Harvest	Cover_2_Planting	Cover_2_Harvest	Crop_3_Planting	Crop_3_Harvest	Cover_3_Planting	Cover_3_Harvest	Stop_Date	Cover_Roots	Crop_Roots	All_Roots	Current_Crop	Previous_Crop	Tillage_Type	Depth	Tillage_Start	Planter Type	Planter_Start	Removal_Type	Residue_Retained	Fertilizer_Type	N_Annual_Rate	P_Annual_Rate	K_Annual_Rate	Fertilizer_Applications_per_Year	Irrigation_Type	Annual_Rate	Irrigation_Applications_per_Year	Grazing_Type	Stocking_Rate	Animal_Type	Rest_Period	Yield_Type	Yield	Units	C Saturation Deficit	texture_class	sand	silt	clay	water_cap	water_capacity_rating	agg_stab	aggregate_stability_rating	SOM	organic_matter_rating	ace	ace_soil_protein_index_rating	resp	respiration_rating	activeC	active_carbon_rating	ph	ph_rating	p	p_rating	k	k_rating	mg	fe	mn	zn	minor_elements_rating	Overall	beta_glucosidase	PLFA	DNA	qPCR	root	rich	dist	ClimateZ
NRCS1	1	No	Yes	SHI-0001	PP80	IL	IL1	IL1_A	A	Field 101	5/4/2016	pre-plant	40.674	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																none							29.98	silt loam	8.49	65.54	25.97	0.3	98.47	23	32.84	6.89	100	9.92	85.01	0.59	48.69	1083.73	99.92	6.44	100	53.92	8.45	263.63	100	504.85	2.8	9.42	3.35	100	77.34	177	153135.95	24309.3	8.49E+09				Dfa
NRCS2	2	No	Yes	SHI-0002	PP81	IL	IL1	IL1_B	B	Field 102	5/4/2016	pre-plant	40.674	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.19	silt loam	10.38	63.12	26.5	0.3	98.28	20.56	28.09	7.56	100	10.35	87.82	0.63	54.34	1196.83	99.99	6.39	100	64.24	6.55	440.46	100	610.24	2.87	7.96	3.44	100	77.51	258	156976.35	20125.2	5.34E+09				Dfa
NRCS3	3	No	Yes	SHI-0003	PP82	IL	IL1	IL1_C	C	Field 103	5/4/2016	pre-plant	40.674	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.49	silty clay loam	9.05	63.02	27.93	0.31	99.01	18.62	19.44	7.53	100	9.73	89.94	0.68	59.91	1226.5	99.94	6.79	100	82.93	3.13	659.56	100	680.16	2.72	8.18	3.41	100	77.14	266	182474.26	18309.2	5.08E+09				Dfa
NRCS4	4	No	Yes	SHI-0004	PP83	IL	IL1	IL1_D	D	Field 106	5/4/2016	pre-plant	40.674	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.73	silty clay loam	9.19	62.46	28.35	0.3	98.6	20.66	22.52	7.07	99.97	9.15	86.05	0.54	41.68	1109.69	99.62	6.59	100	33.47	25.37	190.42	100	637.68	2.47	8.32	1.85	100	77.38	185	130514.72	14591.3	4.20E+09				Dfa
NRCS5	5	No	Yes	SHI-0005	PP92	IL	IL1	IL1_E	E	Field 107	5/4/2016	pre-plant	40.673	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.51	silty clay loam	10.04	62.29	27.67	0.28	97.14	16.67	16.73	7.14	99.98	8.63	81.9	0.47	33.79	998.44	98.29	6.75	100	42.74	10.5	186.35	100	608.72	2.08	7.82	1.86	100	73.83	164	121247.65	17449.9	4.26E+09				Dfa
NRCS6	6	No	Yes	SHI-0006	PP84	IL	IL1	IL1_A	A	Field 201	5/4/2016	pre-plant	40.673	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.12	silt loam	11.5	63.97	24.54	0.34	99.72	16	20.24	7.29	100	11.24	92.47	0.66	57.61	1182	99.99	6.26	93.94	45.42	10	601.79	100	478.92	3.5	9.11	2.8	100	77.4	250	119571.36	18285	4.40E+09				Dfa
NRCS7	7	No	Yes	SHI-0007	PP85	IL	IL1	IL1_B	B	Field 203	5/4/2016	pre-plant	40.673	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.6	silty clay loam	10.2	58.96	30.84	0.3	98.2	22.41	25.39	6.93	99.94	7.93	75.06	0.58	47.75	1037.38	98.96	7.07	100	62.72	6.83	195.21	100	877.43	1.56	11.56	2.68	100	75.21	258	153334.99	20369.6	5.06E+09				Dfa
NRCS8	8	No	Yes	SHI-0008	PP86	IL	IL1	IL1_C	C	Field 204	5/4/2016	pre-plant	40.673	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.83	silty clay loam	10.87	59.72	29.41	0.28	97.14	15.89	15.73	6.29	99.46	8.6	81.56	0.45	30.65	1167.17	99.85	6.3	100	25.22	43.52	165.23	100	551.38	2.22	8.84	2.08	100	76.79	180	109731.97	14262.8	3.64E+09				Dfa
NRCS9	9	No	Yes	SHI-0009	PP87	IL	IL1	IL1_D	D	Field 206	5/4/2016	pre-plant	40.672	-88.769	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							30.54	silt loam	9.02	65.6	25.38	0.28	97.05	13.86	17.05	5.74	99.88	9.14	78.83	0.54	42.6	879.77	98	5.97	62.59	25.17	43.64	203.55	100	401.9	3.35	12.4	3.18	100	73.96	145	115893.29	17197.4	4.31E+09				Dfa
NRCS10	10	No	Yes	SHI-0010	PP93	IL	IL1	IL1_E	E	Field 207	5/4/2016	pre-plant	40.672	-88.769	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							30.79	silty clay loam	9.22	61.32	29.46	0.29	97.73	22	24.7	5.23	91.33	8.11	76.97	0.53	40.48	907.58	95.18	5.75	37.93	20.84	100	234.39	100	401.75	3.61	13.55	2.43	100	76.43	102	94390.85	14714.8	3.95E+09				Dfa
NRCS11	11	No	Yes	SHI-0011	PP88	IL	IL1	IL1_A	A	Field 301	5/4/2016	pre-plant	40.672	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							30.15	silt loam	7.51	65.86	26.64	0.26	94.54	22.26	31.36	6.95	100	10.82	90.48	0.69	62.17	1118.96	99.96	6.56	100	58.07	7.69	539.29	100	514.46	2.87	9.4	3.37	100	78.62	263	135285.43	16738.5	4.43E+09				Dfa
NRCS12	12	No	Yes	SHI-0012	PP89	IL	IL1	IL1_B	B	Field 302	5/4/2016	pre-plant	40.672	-88.768	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							29.7	silty clay loam	8.85	63.73	27.42	0.29	97.71	27.95	35.53	7.25	99.98	11.66	97.25	0.58	46.81	1096.71	99.55	6.25	93.06	47.18	9.68	295.54	100	666.96	3.65	7.6	2.99	100	77.96	256	132418.71	23341.5	5.19E+09				Dfa
NRCS13	13	No	Yes	SHI-0013	PP90	IL	IL1	IL1_C	C	Field 304	5/4/2016	pre-plant	40.674	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							30.4	silty clay loam	7.59	60.74	31.67	0.27	95.87	24.51	29.05	6.49	99.72	7.13	65.94	0.54	42.14	983.6	97.95	6.59	100	25.62	42.65	183.59	100	713.81	2.15	9.57	2.1	100	77.33	208	120552.25	20562.9	4.88E+09				Dfa
NRCS14	14	No	Yes	SHI-0014	PP91	IL	IL1	IL1_D	D	Field 305	5/4/2016	pre-plant	40.673	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							30.38	silty clay loam	9.35	59.21	31.44	0.29	97.8	14.39	13.91	5.9	98.25	7.94	75.15	0.47	33.36	996.58	98.25	6.22	89.44	25.89	42.05	175.25	100	507.15	2.6	9.85	2.84	100	74.82	186	108376.56	14129.7	3.41E+09				Dfa
NRCS15	15	No	Yes	SHI-0015	PP92	IL	IL1	IL1_E	E	Field 307	5/4/2016	pre-plant	40.672	-88.767	0	15	cropland.annual			Soybean | Corn | Corn																						Corn	Soybean																None							31.45	silty clay loam	6.37	64.77	28.87	0.28	96.55	24.71	29.41	5.12	89.36	10.49	93.71	0.46	31.66	801.9	87.17	5.86	50.54	12.68	100	135.34	100	355.64	4.24	14.94	1.78	100	77.84	164	110193.33	17371.6	4.90E+09				Dfa
NRCS16	16	No	No	SHI-0016	PP95	MN	MN1	MN1_11	11	J Johnson Plot 01	5/19/2016	post-harvest	45.685	-95.803	0	15	cropland.annual	None	None | None | None	Alfalfa | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	7/1/2014			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	74	74.34	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Planter		None	100						None			None				grain	3668	kg/ha	24.66	loam	42.15	37.9	19.95	0.26	93.23	33.15	54.76	3.87	83.32	4.29	25.15	0.66	57.33	655.42	79.96	7.94	0	12.82	100	122.79	100	827.47	0.89	11.73	0.3	100	69.37	188	135243.22	27905.2	6.96E+09	74	1.33	3	Dfb
NRCS17	17	No	No	SHI-0017	PP96	MN	MN1	MN1_5	5	J Johnson Plot 02	5/19/2016	post-harvest	45.685	-95.803	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Alfalfa	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/15/2015	5/19/2016			5/19/2016	0	72	71.78	Alfalfa	Radish + Wheat + Oats	No Till/ Direct Seed		2000			None	100	Synthetic	30	60	66	1	None			None				above ground	3276	kg/ha	25.18	loam	38.62	40.6	20.78	0.23	86.03	24.44	35.77	4.26	92	3.86	21.19	0.68	61	660.98	80.79	7.8	0	23.33	70.77	136.83	100	816.7	0.68	9.21	0.29	100	64.76	181	125313.75	17349.2	3.12E+09	72	1.33	3	Dfb
NRCS18	18	No	No	SHI-0018	PP97	MN	MN1	MN1_12	12	J Johnson Plot 03	5/19/2016	in-season	45.685	-95.803	0	15	cropland.perennial	perennial	None	"Switchgrass, Sunburst"	1		5/20/2015							5/20/2015	5/19/2016							5/19/2016	0	100	100	"Switchgrass, Sunburst"	"Switchgrass, Sunburst"	No Till/ Direct Seed		2000										None			None				above ground	10571	kg/ha	26.74	loam	28.73	45.64	25.63	0.25	91.86	42.6	74.04	5.15	99.16	4.01	22.5	0.75	69.28	740.71	90.34	8.02	0	8.03	100	156.39	100	1160.85	0.55	8.47	0.33	100	74.72	187	147712.42	17355.4	3.91E+09	100	1	3	Dfb
NRCS19	19	No	No	SHI-0019	PP98	MN	MN1	MN1_2	2	J Johnson Plot 04	5/19/2016	in-season	45.685	-95.803	0	15	cropland.perennial	perennial	None	"Switchgrass, Summer"	1		5/20/2015							5/20/2015	5/19/2016							5/19/2016	0	100	100	"Switchgrass, Summer"	"Switchgrass, Summer"	No Till/ Direct Seed		2000										None			None				above ground	8458	kg/ha	27.1	loam	25.57	47.96	26.47	0.27	95.79	48.99	84.12	5.68	99.86	4.03	22.75	0.78	72.13	731.44	89.45	7.65	17.26	7.81	100	162.1	100	1212.2	0.53	8.41	0.34	100	78.14	183	152554.03	30731.8	6.88E+09	100	1	3	Dfb
NRCS20	20	No	No	SHI-0020	PP99	MN	MN1	MN1_1	1	J Johnson Plot 05	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	3145	kg/ha	27	silt loam	23.75	50.24	26.01	0.27	94.95	29.24	46.1	6.51	100	4.15	23.78	0.62	53.12	835.27	96.5	7.45	72.12	8.7	100	156.26	100	1296.64	0.5	7.69	0.39	100	78.66	194	157177.62	30088.7	5.75E+09	49	1.33	3	Dfb
NRCS21	21	No	No	SHI-0021	PP100	MN	MN1	MN1_7	7	J Johnson Plot 06	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3		5/20/2013			5/20/2013	10/1/2013			7/23/2014	4/1/2015			4/29/2015	10/1/2015			5/19/2016	0	49	49.41	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed		2000	Double-disc opener/planter		None	100						None			None				grain	3482	kg/ha	27.14	silt loam	22.46	51.84	25.7	0.27	95.66	36.4	61.79	6.72	100	4.76	29.9	0.64	55.93	900.17	98.47	7.65	17.6	11.04	100	165.37	100	1224.19	0.48	7.92	0.3	100	75.94	214	184006.7	21965.5	4.87E+09	49	1.33	3	Dfb
NRCS22	22	No	No	SHI-0022	PP101	MN	MN1	MN1_10	10	J Johnson Plot 07	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	None	None | None | None	Sorghum-Sudan | Sorghum-Sudan | Sorghum-Sudan	3		5/20/2013			5/20/2013	10/1/2013			6/1/2014	10/1/2014			6/1/2015	10/1/2015			5/19/2016	0	35	34.52	Sorghum-Sudan	Sorghum-Sudan	No Till/ Direct Seed		2000	Planter									None			None				above ground	17882	kg/ha	27.71	silt loam	20.96	52.33	26.7	0.29	97.56	25.73	38.49	6.3	99.99	4.44	26.62	0.66	58.25	881.63	98.04	7.81	0	11.69	100	144.07	100	1552.45	0.6	9.14	0.32	100	71.9	164	151526.94	22403.8	5.80E+09	35	1	3	Dfb
NRCS23	23	No	No	SHI-0023	PP102	MN	MN1	MN1_9	9	J Johnson Plot 08	5/19/2016	post-harvest	45.685	-95.804	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	"Soybean, Forage | Cover | Corn"	3		5/20/2013			5/20/2013	10/1/2013					7/22/2014	4/14/2015	5/1/2015	10/1/2015	8/13/2015	5/1/2016	5/19/2016	48	26	74.43	Corn	Cover	No Till/ Direct Seed		2000	Double-disc opener/planter		full	25	Synthetic	150	0	0	1	None			None				grain	7430	kg/ha	27.67	silt loam	22.55	52.68	24.77	0.32	99.25	24.42	35.73	5.78	99.9	4.16	23.93	0.62	53.12	777.79	93.34	7.97	0	16.54	100	138.98	100	1583.46	0.41	8.51	0.22	56	66.13	120	137519.09	19130.3	3.40E+09	74	1.67	3	Dfb
