SampleID	sample_simple	PLFA_ID	Remove.SH	Remove.SHMI	Index	Cornell_ID	State	Site	Cluster	Trt	Field_ID	Collection_Date	Plant_Stage	Latitude	Longitude	Upper	Lower	Current_Land_Use	Cover_Type	Cover_Crop	Crop_Rotation	System_Years	Notes	Start_Date	Cover_0_Planting	Cover_0_Harvest	Crop_1_Planting	Crop_1_Harvest	Cover_1_Planting	Cover_1_Harvest	Crop_2_Planting	Crop_2_Harvest	Cover_2_Planting	Cover_2_Harvest	Crop_3_Planting	Crop_3_Harvest	Cover_3_Planting	Cover_3_Harvest	Stop_Date	Cover_Roots	Crop_Roots	All_Roots	Current_Crop	Previous_Crop	Tillage_Type	Depth	Tillage_Start	Planter Type	Planter_Start	Removal_Type	Residue_Retained	Fertilizer_Type	N_Annual_Rate	P_Annual_Rate	K_Annual_Rate	Fertilizer_Applications_per_Year	Irrigation_Type	Annual_Rate	Irrigation_Applications_per_Year	Grazing_Type	Stocking_Rate	Animal_Type	Rest_Period	Yield_Type	Yield	Units	C Saturation Deficit	texture_class	sand	silt	clay	water_cap	water_capacity_rating	agg_stab	aggregate_stability_rating	SOM	organic_matter_rating	ace	ace_soil_protein_index_rating	resp	respiration_rating	activeC	active_carbon_rating	ph	ph_rating	p	p_rating	k	k_rating	mg	fe	mn	zn	minor_elements_rating	Overall	beta_glucosidase	PLFA	DNA	qPCR	root	rich	dist	ClimateZ	acidity	BSk	Cfa	Csa	Csb	Dfa	Dfb	Dfc	SH	SH_rating	SH_bin	SOM.pred	SOM.corr	SOM.resid	activeC.pred	activeC.corr	activeC.resid	resp.pred	resp.corr	resp.resid	qPCR.pred	qPCR.corr	qPCR.resid	agg_stab.pred	agg_stab.corr	agg_stab.resid	ace.pred	ace.corr	ace.resid	water_cap.pred	water_cap.corr	water_cap.resid	clay.bt	SOM.bt	activeC.bt	resp.bt	qPCR.bt	agg_stab.bt	ace.bt	water_cap.bt	root_bin	rich_bin	dist_bin	SHMI	SHMI_bin	SHMI2	SHMI2_rating	SHMI2_bin
NRCS18S.16	NRCS16	SHI-0016	No	No	16	PP95	MN	MN1	MN1_11	11	J Johnson Plot 01	42509	post-harvest	45.68504	-95.8031	0	15	cropland.annual	None	None | None | None	Alfalfa | Radish + Wheat + Oats | Soybean	3	NA	5/20/2013	NA	NA	5/20/2013	7/1/2014	NA	NA	7/23/2014	4/1/2015	NA	NA	4/29/2015	10/1/2015	NA	NA	5/19/2016	0	74.33789954	74.33789954	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed	NA	2000	Planter	NA	None	100	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	grain	3667.785943	kg/ha	24.66390593	loam	42.14985369	37.89821627	0.05241253	0.191165356	93.22753492	1.066405792	54.76123904	0.511041779	83.31565294	0.03835871	25.15320992	1.279423069	57.32823797	1.012969723	79.95741276	1.975404299	0	12.81851278	100	122.7893906	100	827.4682126	0.890907052	11.73406536	0.297237062	100	69.37432876	188	1.637541002	27905.17524	2.214184375	74.33789954	1.333	3	Dfb	-1.975404299	0	0	0	0	0	1	0	-0.204451387	31.00649351	low	1.057051371	2.42817831	-0.546009592	1.312030715	378.5391396	-0.299060993	1.198923179	0.392683633	0.08049989	1.28244966	2623112658	0.931734714	0.786452689	18.71054114	0.279953103	0.409902113	3.554862403	-0.371543403	0.017178	0.255373239	0.173987357	19.95193004	3.870042753	655.4186898	0.655421132	6.96E+09	33.15336351	4.290068393	0.257041992	0.353556143	0.224008606	0.420007026	9	4	0.262811037	73.88059701	high
NRCS18S.17	NRCS17	SHI-0017	No	No	17	PP96	MN	MN1	MN1_5	5	J Johnson Plot 02	42509	post-harvest	45.68504	-95.8032	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Alfalfa	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	7/23/2014	4/1/2015	NA	NA	4/15/2015	5/19/2016	NA	NA	5/19/2016	0	71.78082192	71.78082192	Alfalfa	Radish + Wheat + Oats	No Till/ Direct Seed	NA	2000	NA	NA	None	100	Synthetic	30	60	66	1	None	NA	NA	None	NA	NA	NA	above ground	3275.788787	kg/ha	25.17689056	loam	38.61668813	40.59891357	0.153104795	-0.098509828	86.02883397	0.636941821	35.77277241	0.756161416	92.00448709	-0.186133083	21.18982708	1.382551898	60.99982487	1.033168261	80.78958186	1.769402364	0	23.32693915	70.76897355	136.8314457	100	816.7020422	0.683366502	9.205805891	0.28633239	100	64.75543008	181	1.355240791	17349.19886	1.159716076	71.78082192	1.333	3	Dfb	-1.769402364	0	0	0	0	0	1	0	-0.279855917	24.02597403	low	1.132389506	2.632308637	-0.376228089	1.328483502	379.132861	-0.295315241	1.266523235	0.398908009	0.116028663	1.34048743	1125080011	-0.180771354	0.806931185	13.10361724	-0.169989364	0.35107491	3.312984836	-0.537207992	0.06222134	0.224935213	-0.160731167	20.78439831	4.264836102	660.9811606	0.683794341	3.12E+09	24.43829539	3.860488346	0.230305021	0.353556143	0.224008606	0.420007026	9	4	0.262811037	73.88059701	high
NRCS18S.18	NRCS18	SHI-0018	No	No	18	PP97	MN	MN1	MN1_12	12	J Johnson Plot 03	42509	in-season	45.68504	-95.8033	0	15	cropland.perennial	perennial	None	"Switchgrass, Sunburst"	1	NA	5/20/2015	NA	NA	NA	NA	NA	NA	5/20/2015	5/19/2016	NA	NA	NA	NA	NA	NA	5/19/2016	0	100	100	"Switchgrass, Sunburst"	"Switchgrass, Sunburst"	No Till/ Direct Seed	NA	2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	above ground	10570.86614	kg/ha	26.73911887	loam	28.72721143	45.63860325	0.739716984	0.125397833	91.85766036	1.437846986	74.04253247	1.260044839	99.16015607	-0.105114403	22.50176923	1.613489402	69.2846722	1.305356332	90.3393813	2.08790181	0	8.025045309	100	156.3942499	100	1160.84505	0.552500698	8.466795938	0.325416195	100	74.71861716	187	1.992046892	17355.35395	1.456343672	100	1	3	Dfb	-2.08790181	0	0	0	0	0	1	0	-0.112367427	38.47402597	low	1.571293808	2.713134663	-0.311248969	1.424334013	408.162952	-0.118977681	1.660347101	0.37105163	-0.0468577	1.678603402	1090117608	-0.22225973	0.926234646	22.28384506	0.51161234	0.008359859	3.991767294	-0.113474262	0.324634471	0.221675028	-0.199236637	25.63418531	5.152011605	740.7099076	0.751180713	3.91E+09	42.60382981	4.007325081	0.250711452	1.130220458	-0.736540295	0.420007026	9	4	0.317729955	76.67910448	high
NRCS18S.19	NRCS19	SHI-0019	No	No	19	PP98	MN	MN1	MN1_2	2	J Johnson Plot 04	42509	in-season	45.68504	-95.8034	0	15	cropland.perennial	perennial	None	"Switchgrass, Summer"	1	NA	5/20/2015	NA	NA	NA	NA	NA	NA	5/20/2015	5/19/2016	NA	NA	NA	NA	NA	NA	5/19/2016	0	100	100	"Switchgrass, Summer"	"Switchgrass, Summer"	No Till/ Direct Seed	NA	2000	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	above ground	8458.005249	kg/ha	27.09523907	loam	25.56564312	47.96320943	0.84095281	0.342769238	95.790989	1.652024802	84.1150037	1.536212758	99.85625021	-0.090386106	22.75381445	1.694099848	72.12943406	1.275253464	89.45368268	1.557556402	17.26105616	7.812458985	100	162.1030161	100	1212.195648	0.525111238	8.41426151	0.338639575	100	78.13602303	183	2.129696611	30731.79507	2.198990788	100	1	3	Dfb	-1.557556402	0	0	0	0	0	1	0	0.003835116	52.11038961	medium	1.647038636	2.972002953	-0.110825878	1.440875616	400.2744353	-0.165622152	1.728312079	0.373152692	-0.034212231	1.736954473	1834858653	0.462036315	0.946823691	25.68152581	0.705201111	-0.050784908	4.132648695	-0.039601198	0.369920966	0.23662134	-0.027151727	26.47114745	5.682717034	731.4391231	0.776007271	6880000000	48.98552158	4.034969583	0.272250456	1.130220458	-0.736540295	0.420007026	9	4	0.317729955	76.67910448	high
NRCS18S.20	NRCS20	SHI-0020	No	No	20	PP99	MN	MN1	MN1_1	1	J Johnson Plot 05	42509	post-harvest	45.68504	-95.8035	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	7/23/2014	4/1/2015	NA	NA	4/29/2015	10/1/2015	NA	NA	5/19/2016	0	49.40639269	49.40639269	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed	NA	2000	Double-disc opener/planter	NA	None	100	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	grain	3145.23776	kg/ha	26.99980609	silt loam	23.7482452	50.24238126	0.785098356	0.287201768	94.9456367	0.88650551	46.09890256	1.93445745	99.99508511	-0.032854048	23.78111349	1.158716799	53.12202343	1.592516956	96.50285743	1.255128029	72.12410225	8.702363496	100	156.2613766	100	1296.639172	0.495740787	7.692801776	0.392230944	100	78.6569721	194	2.26114774	30088.72138	1.963193111	49.40639269	1.333	3	Dfb	-1.255128029	0	0	0	0	0	1	0	0.110289391	63.7987013	high	1.605248232	3.592300341	0.329209217	1.431749181	458.8448915	0.160767775	1.690814023	0.297731763	-0.532097223	1.70476066	1571522622	0.258432451	0.935464176	14.45431918	-0.048958667	-0.018153192	4.181919048	-0.014700855	0.344935222	0.233893435	-0.057733453	26.00937354	6.505280038	835.27191	0.623501271	5.75E+09	29.23703725	4.145908007	0.266574343	-1.199772487	0.224008606	0.420007026	7	3	-0.241260288	37.68656716	low
NRCS18S.21	NRCS21	SHI-0021	No	No	21	PP100	MN	MN1	MN1_7	7	J Johnson Plot 06	42509	post-harvest	45.68504	-95.8037	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	7/23/2014	4/1/2015	NA	NA	4/29/2015	10/1/2015	NA	NA	5/19/2016	0	49.40639269	49.40639269	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed	NA	2000	Double-disc opener/planter	NA	None	100	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	grain	3482.46295	kg/ha	27.14343399	silt loam	22.45991548	51.83629499	0.748136052	0.333694036	95.66016141	1.202772479	61.78999501	2.035113143	99.9982475	0.246194809	29.89594484	1.239759564	55.93299413	1.771348892	98.4731988	1.556095396	17.60040129	11.0403045	100	165.3710169	100	1224.186486	0.481177122	7.922162806	0.301458347	100	75.9350943	214	3.023912998	21965.50275	1.744891629	49.40639269	1.333	3	Dfb	-1.556095396	0	0	0	0	0	1	0	0.257087464	75.32467532	high	1.577592969	3.786965489	0.457520174	1.425709661	495.7454561	0.345639231	1.665999268	0.312563407	-0.426239704	1.683456047	1352763809	0.061435581	0.927946891	18.63711628	0.274825588	0.003441207	4.751167437	0.242753601	0.328400628	0.239550254	0.005293408	25.70378953	6.724109934	900.1674018	0.644781178	4870000000	36.39945857	4.759594512	0.271315251	-1.199772487	0.224008606	0.420007026	7	3	-0.241260288	37.68656716	low
NRCS18S.22	NRCS22	SHI-0022	No	No	22	PP101	MN	MN1	MN1_10	10	J Johnson Plot 07	42509	post-harvest	45.68504	-95.8038	0	15	cropland.annual	None	None | None | None	Sorghum-Sudan | Sorghum-Sudan | Sorghum-Sudan	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	6/1/2014	10/1/2014	NA	NA	6/1/2015	10/1/2015	NA	NA	5/19/2016	0	34.52054795	34.52054795	Sorghum-Sudan	Sorghum-Sudan	No Till/ Direct Seed	NA	2000	Planter	NA	NA	NA	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	above ground	17881.88976	kg/ha	27.70579712	silt loam	20.96282026	52.33271442	0.869174072	0.491602335	97.55860831	0.708055662	38.49441636	1.836493747	99.98752904	0.108469307	26.62263948	1.305559371	58.25344292	1.721604711	98.0436195	1.78839545	0	11.69375325	100	144.0690399	100	1552.453561	0.600397752	9.135183292	0.32249379	100	71.89602556	164	2.100495967	22403.84918	1.974571803	34.52054795	1	3	Dfb	-1.78839545	0	0	0	0	0	1	0	0.108675822	63.47402597	high	1.668153835	3.357117759	0.168339912	1.445486878	481.5330118	0.276117833	1.747258508	0.310358634	-0.441699138	1.753220857	1527801235	0.221350945	0.952563248	12.32467433	-0.244507586	-0.067272548	4.591667159	0.175741856	0.38254537	0.249162873	0.109056965	26.70446532	6.296570048	881.6258327	0.662514434	5.80E+09	25.7346225	4.439921601	0.288055976	-1.199772487	-0.736540295	0.420007026	6	2	-0.438377032	26.67910448	low
NRCS18S.23	NRCS23	SHI-0023	No	No	23	PP102	MN	MN1	MN1_9	9	J Johnson Plot 08	42509	post-harvest	45.68504	-95.8039	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	"Soybean, Forage | Cover | Corn"	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	NA	NA	7/22/2014	4/14/2015	5/1/2015	10/1/2015	8/13/2015	5/1/2016	5/19/2016	48.21917808	26.21004566	74.42922374	Corn	Cover	No Till/ Direct Seed	NA	2000	Double-disc opener/planter	NA	full	25	Synthetic	150	0	0	1	None	NA	NA	None	NA	NA	NA	grain	7430.243149	kg/ha	27.67212293	silt loam	22.54534793	52.68021892	0.635724562	0.753886185	99.25226186	0.635741778	35.72838508	1.585912568	99.9001629	-0.024643149	23.93348127	1.158716799	53.12202343	1.422113788	93.3397715	2.023617518	0	16.54264433	100	138.9781251	100	1583.458897	0.412492656	8.511418573	0.215536703	56	66.1276086	120	1.702245119	19130.25968	1.272664248	74.42922374	1.667	3	Dfb	-2.023617518	0	0	0	0	0	1	0	-0.014201576	50.16233766	medium	1.493486489	3.24952556	0.092426079	1.407341992	431.6553129	0.014771796	1.590531474	0.311766778	-0.431814675	1.618663463	992162904.4	-0.345999214	0.905084973	12.07365023	-0.269343196	0.069115106	4.028613537	-0.093758255	0.278114849	0.286332079	0.475771336	24.77443315	5.781644833	777.7930458	0.623501271	3.40E+09	24.41688758	4.162135059	0.318175726	0.353556143	0.224008606	0.420007026	9	4	0.262811037	73.88059701	high
NRCS18S.24	NRCS24	SHI-0024	No	No	24	PP103	MN	MN1	MN1_6	6	J Johnson Plot 09	42509	post-harvest	45.68504	-95.804	0	15	cropland.annual	None	None | None | None	Soybean | Radish + Wheat + Oats | Soybean	3	NA	5/20/2013	NA	NA	5/20/2013	10/1/2013	NA	NA	7/23/2014	4/1/2015	NA	NA	4/29/2015	10/1/2015	NA	NA	5/19/2016	0	49.40639269	49.40639269	Soybean	Radish + Wheat + Oats	No Till/ Direct Seed	NA	2000	Double-disc opener/planter	NA	None	100	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	grain	2933.970252	kg/ha	26.65972444	loam	29.14560246	46.60337449	0.572414824	0.483591814	97.48058077	0.392489588	27.7644611	1.252205087	99.1223204	-0.547478949	16.60121907	1.003761929	47.93813572	1.293360644	89.99189187	2.150725095	0	14.27750804	100	125.6664883	100	1872.831151	0.403669931	11.79600623	0.417049882	100	67.88986089	124	1.343287917	12841.78261	1.012796387	49.40639269	1.333	3	Dfb	-2.150725095	0	0	0	0	0	1	0	-0.252473589	26.2987013	low	1.446118029	2.862922231	-0.193912941	1.396997388	410.7912378	-0.103636744	1.54802829	0.29606614	-0.544266361	1.582172517	837079870.1	-0.569376129	0.892209225	9.938165258	-0.499719638	0.106102404	3.158297399	-0.653581353	0.249794083	0.26123077	0.233797731	24.25102305	5.137412141	737.0015938	0.584488109	2.79E+09	20.38264642	3.298853614	0.287182387	-1.199772487	0.224008606	0.420007026	7	3	-0.241260288	37.68656716	low
NRCS18S.25	NRCS25	SHI-0025	No	No	25	PP104	MN	MN1	MN1_3	3	J Johnson Plot 10	42509	post-harvest	45.68504	-95.8041	0	15	cropland.annual	cover crop	"Vetch, Hairy | Vetch, Hairy | Vetch, Hairy"	Corn | Cover | Wheat	3	NA	5/20/2013	NA	NA	5/20/2013	10/15/2013	NA	NA	NA	NA	7/22/2014	3/15/2015	4/16/2015	9/1/2015	8/13/2015	5/1/2016	5/19/2016	45.47945205	26.11872146	71.59817352	Wheat	Cover	No Till/ Direct Seed	NA	2000	Double-disc opener/planter	NA	full	25	NA	NA	NA	NA	NA	None	NA	NA	None	NA	NA	NA	grain	3391.575718	kg/ha	26.13700717	loam	32.15144128	42.72177814	0.678343196	0.456422856	97.20215784	0.87702295	45.66809182	1.150504241	98.48837535	-0.525731528	16.82904473	1.253042769	56.39898308	1.346873367	91.48580139	2.469224541	0	12.85263191	100	120.0434696	100	2097.10733	0.525206561	15.29587187	0.438292587	100	70.60724542	152	1.896450017	15182.99061	1.280372368	71.59817352	1.667	3	Dfb	-2.469224541	0	0	0	0	0	1	0	-0.231348796	28.73376623	low	1.525373828	2.633983049	-0.374869587	1.414305737	417.0612482	-0.06743237	1.619143623	0.32126862	-0.366100854	1.643228313	979518378.6	-0.362855946	0.913752626	14.59690022	-0.036729676	0.044216122	3.268271446	-0.56994765	0.297179726	0.253949558	0.15924313	25.12678058	4.950327869	753.689006	0.64832783	3.42E+09	29.04161617	3.328888534	0.284239154	0.353556143	0.224008606	0.420007026	9	4	0.262811037	73.88059701	high
