"","SampleID","PLFA_ID","Remove.SH","Remove.SHMI","Index","Cornell_ID","State","Site","Cluster","Trt","Field_ID","Collection_Date","Plant_Stage","Latitude","Longitude","Upper","Lower","Current_Land_Use","Cover_Type","Cover_Crop","Crop_Rotation","System_Years","Notes","Start_Date","Cover_0_Planting","Cover_0_Harvest","Crop_1_Planting","Crop_1_Harvest","Cover_1_Planting","Cover_1_Harvest","Crop_2_Planting","Crop_2_Harvest","Cover_2_Planting","Cover_2_Harvest","Crop_3_Planting","Crop_3_Harvest","Cover_3_Planting","Cover_3_Harvest","Stop_Date","Cover_Roots","Crop_Roots","All_Roots","Current_Crop","Previous_Crop","Tillage_Type","Depth","Tillage_Start","Planter Type","Planter_Start","Removal_Type","Residue_Retained","Fertilizer_Type","N_Annual_Rate","P_Annual_Rate","K_Annual_Rate","Fertilizer_Applications_per_Year","Irrigation_Type","Annual_Rate","Irrigation_Applications_per_Year","Grazing_Type","Stocking_Rate","Animal_Type","Rest_Period","Yield_Type","Yield","Units","C Saturation Deficit","texture_class","sand","silt","clay","water_cap","water_capacity_rating","agg_stab","aggregate_stability_rating","SOM","organic_matter_rating","ace","ace_soil_protein_index_rating","resp","respiration_rating","activeC","active_carbon_rating","ph","ph_rating","p","p_rating","k","k_rating","mg","fe","mn","zn","minor_elements_rating","beta_glucosidase","PLFA","DNA","qPCR","root","rich","dist","ClimateZ","acidity","BSk","Cfa","Csa","Csb","Dfa","Dfb","Dfc","SH","SH_rating","SH_bin","SOM.pred","SOM.corr","SOM.resid","activeC.pred","activeC.corr","activeC.resid","resp.pred","resp.corr","resp.resid","qPCR.pred","qPCR.corr","qPCR.resid","agg_stab.pred","agg_stab.corr","agg_stab.resid","ace.pred","ace.corr","ace.resid","water_cap.pred","water_cap.corr","water_cap.resid","clay.bt","SOM.bt","activeC.bt","resp.bt","qPCR.bt","agg_stab.bt","ace.bt","water_cap.bt","root_bin","rich_bin","dist_bin","SHMI","SHMI_bin","SHMI2","SHMI2_rating","SHMI2_bin","Axis1","Axis2"
"1","ARSI1.40.1","SHI-0638","No","No",631,"SS297","OR","OR3","OR3_40","40","ARS.I1.40","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",40,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.9177012629,"loam",49.09202528,34.08962118,-0.326613222931763,-0.539544671011333,70.40214221,-1.35923923242096,7.042897109,-0.367516333531009,34.58302571,-0.834904349427805,14.02798109,-1.64880867913574,7.804441779,-0.788976828330744,15.01536434,-0.0232527743979594,100,6.4,100,94.6,100,682.8,1.6,1.2,3.7,100,0,-1.01108620109379,3089.55942639594,-0.336973779428729,100,1,2,"Csb",0.0232527743979594,0,0,0,1,0,0,0,-0.297497262967781,22.4025974025974,"low",-0.183161713414955,2.87534307268506,-0.184354620116054,-0.722941683044559,417.305133511756,-0.0660351452861848,-0.812866739989336,0.258467153963063,-0.8359419391464,0.0574301712524555,956285087.477958,-0.394403950681185,-0.854650688552604,9.89662187754762,-0.504588543868352,-0.21636207768267,3.20364691197965,-0.618542271745135,0.124495502264978,0.185856519100021,-0.664040173276311,16.81835354,2.643057635,308.3816898,0.174495236,999000000.000001,4.493134442,2.939091936,0.194840131,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.45151621195501,-0.376265116327472
"2","ARSI2.80.1","SHI-0644","No","No",637,"SS303","OR","OR3","OR3_80","80","ARS.I2.80","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",80,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.1625257519,"sandy loam",53.59254025,30.45534701,-0.431390488013887,-0.679727732686753,78.29527026,-0.990750017061078,7.205221209,-0.643442088314814,65.33883041,-0.709641573158539,10.89653838,-0.88536122308749,12.33786767,-1.04168373521736,19.41240202,-0.242403769335893,100,4.9,100,82.4,100,670.6,1.9,1.2,2.2,100,0,-0.817771937775034,3687.87899312253,-0.346215017216784,100,1,2,"Csb",0.242403769335893,0,0,0,1,0,0,0,-0.314397515374239,21.4285714285714,"low",-0.267756223076201,2.63297687255524,-0.375685865238613,-0.741062151518872,378.292052136468,-0.30062158369849,-0.851272329034297,0.373173235204952,-0.0340888940531933,0.0497102891731605,955178730.636338,-0.395925306389944,-0.91199230831273,14.1116498655221,-0.0787577087483481,-0.252467130411502,3.42646614416273,-0.457174442747037,0.0878386628103618,0.178702318152471,-0.767566395497115,15.95211273,2.315587575,277.4402186,0.252521562,992000000.000002,6.404455832,3.087828378,0.184754292,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.450721191350038,-0.292297355895633
"3","ARSI3.160.1","SHI-0649","No","No",642,"SS308","OR","OR3","OR3_160","160","ARS.I3.160","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",160,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.27700267868,"sandy loam",52.5822709,31.4903642,-0.434383892234066,-0.608824493356928,80.34815685,-1.11797135214663,6.783438545,-0.498733317411611,72.74108125,-0.560862755383401,11.96024597,-0.88536122308749,12.33786767,-0.665277796216147,26.55959312,-0.680705759211759,92.71024295,5.8,100,95.9,100,635.5,3.6,2.1,2,100,0,-0.808404903716224,3903.95859502333,-0.296811808379776,100,1,2,"Csb",0.680705759211759,0,0,0,1,0,0,0,-0.167591535478825,33.4415584415584,"low",-0.270173021816132,2.81817603950198,-0.228560295595479,-0.741579839079815,442.912259667427,0.0763020428636683,-0.852369546567466,0.373356028708971,-0.0329916765200241,0.0494897382017515,991934688.552323,-0.346301546581528,-0.9136305133799,12.739684818044,-0.204340838766727,-0.253498623427888,3.65617284067354,-0.307364131955513,0.0867914056803361,0.183644632549668,-0.695615899037265,15.92736491,2.484000749,324.7624687,0.252521562,1.03e+09,5.681334878,3.280582542,0.189788607,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.450371040398863,-0.278733711439104
"4","ARSI4.240.1","SHI-0639","No","No",632,"SS298","OR","OR3","OR3_240","240","ARS.I4.240","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",240,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.22731502598,"sandy loam",53.02560815,32.26346862,-0.581520152658089,-0.315275285989388,87.96686773,-1.25446123046056,6.393509941,-0.562277254420484,69.54778255,-0.456877201569017,12.8151692,-1.27160093528326,9.677863567,-0.560452769919963,29.00001796,-0.797586289845324,86.23435567,5.3,100,83.3,100,632.2,4,1.7,3.6,100,0,-1.01889978260376,4850.72615436603,0.0684469151125407,100,1,2,"Csb",0.797586289845324,0,0,0,1,0,0,0,-0.086391321582225,40.5844155844156,"medium",-0.388967111299225,2.88973642563417,-0.173310143121259,-0.767025988741692,467.723478254739,0.206573218821729,-0.906301616153633,0.321386034613584,-0.365299319129629,0.0386488885272386,1320587487.50724,0.0297980265853022,-0.99415400758972,12.164491843718,-0.260307222870839,-0.304200103722955,3.9200722283619,-0.152677097846062,0.0353150642040764,0.209311663438656,-0.350590350193464,14.71092322,2.409150449,339.323161,0.209961748,1.36e+09,4.981246343,3.426899046,0.212133249,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.45301580353148,-0.286600998040698
"5","ARSII1.40.1","SHI-0650","No","No",643,"SS309","OR","OR3","OR3_40","40","ARS.II1.40","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",40,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.77237761292,"loam",49.34474269,33.19153096,-0.248551329276388,-0.614225990274338,67.44780256,-0.0941957322934502,17.15753934,-0.241079489625123,41.29851279,0.00255846415901638,24.44895122,-0.604132516644326,14.91607152,0.0771428103903178,37.91400774,-0.563825228578195,96.5481826,7.8,100,165.2,100,660.1,2.6,2.4,3.2,100,0,-0.673225208623838,9087.60471468177,0.814908926754218,100,1,2,"Csb",0.563825228578195,0,0,0,1,0,0,0,0.234047298565648,74.512987012987,"high",-0.12013651790304,2.95858621757341,-0.120942971722084,-0.709441444401006,596.187001239878,0.786584254791324,-0.784253538399756,0.410350922640193,0.18012102175543,0.0631816919991902,2287349435.38132,0.751727234755028,-0.811929632412865,25.9153136137538,0.717733900119414,-0.189462837811019,4.62962601539785,0.192021301970035,0.151805838157077,0.178806327244988,-0.766031828431415,17.46372635,2.802114521,443.0680938,0.287988073,2.4e+09,13.93675426,4.216619097,0.189400306,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.487329467844967,0.0289053441001317
"6","ARSII2.80.1","SHI-0641","No","No",634,"SS300","OR","OR3","OR3_80","80","ARS.II2.80","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",80,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.4397041139,"loam",51.62661392,32.88035065,-0.486918771197704,-0.153718969322949,84.3324695716585,-0.611215266442251,11.104132960331,-0.44409335565125,30.8339924820907,-0.326688291740226,19.1835025170019,-0.82651484329721,12.82678883,-0.774912065074494,15.2460795076673,-0.373894366298653,100,6.1,100,112.5,100,663.4,2.5,1.4,2.5,100,0,-0.555531820175138,7488.18068745129,0.588373384299115,100,1,2,"Csb",0.373894366298653,0,0,0,1,0,0,0,-0.0102740579970598,50.974025974026,"medium",-0.3125883523037,2.94461931590843,-0.131505003347549,-0.750665365575628,424.665589452349,-0.0242466994988662,-0.871625946993864,0.386566861627212,0.0451111036966536,0.045619021874775,1951085590.75212,0.54275436242434,-0.942381359771205,19.4569750949191,0.331166093328954,-0.271601544644606,4.1024699862823,-0.0550867470956197,0.068411820925682,0.219759066940262,-0.222130790248631,15.49303542,2.54949476,310.2017764,0.259614864,2.02e+09,9.021840235,3.625191665,0.225534063,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.422771030132927,-0.34827832652763
"7","ARSII3.160.1","SHI-0645","No","No",638,"SS304","OR","OR3","OR3_80","80","ARS.II2.80","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",80,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",25.04354636704,"loam",45.30716979,35.66734643,-0.0596469606576214,-0.0387714554597032,87.75419456,-1.18270213570874,7.699770203,-0.864408269609242,15.13288014,-0.610839022761301,15.96659629,-0.769033092866304,13.32900331,-0.665277796216147,17.17608215,0.0497975572480181,100,5.2,100,91.3,100,683,1.9,1.3,2.5,100,0,-0.508353639737316,4121.86012798567,-0.234514334755844,100,1,2,"Csb",-0.0497975572480181,0,0,0,1,0,0,0,-0.406282479764231,14.2857142857143,"very low",0.0323800840873491,2.0380660722125,-0.896788353696591,-0.676771803200375,431.063733675986,0.0114940069842279,-0.715011575037917,0.369865864770011,-0.0540215178283874,0.0770999733062803,1018463947.64793,-0.311614308062125,-0.708547639497954,10.1586453732614,-0.474154496210784,-0.124368542933773,3.38422111832457,-0.486470479827528,0.217894956892008,0.216900143008768,-0.256666412351711,19.02548379,2.072324102,324.7624687,0.266708166,1.08e+09,5.339920919,3.213755394,0.235581127,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.461191611116982,-0.419039006529501
"8","ARSII4.240.1","SHI-0640","No","No",633,"SS299","OR","OR3","OR3_160","160","ARS.II3.160","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",160,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",23.00714206546,"sandy loam",54.5133508,32.23268971,-0.757749064054275,0.0671508455434638,95.01403545,-1.10800600019203,6.814325715,-0.701467223351146,62.27141519,-0.409639496270369,13.23832448,-0.712849266114906,13.84458424,-0.904577782445127,21.74321229,-0.44694469794463,98.54385229,6.4,100,96.2,100,684,3.2,1.8,1.7,100,0,-0.641826637050819,4579.05247004294,-0.0960463193569508,100,1,2,"Csb",0.44694469794463,0,0,0,1,0,0,0,-0.0700851006032528,43.1818181818182,"medium",-0.531249870216539,2.89377494198515,-0.170217353134607,-0.797503501499009,410.200834354166,-0.107074280946118,-0.970897453271712,0.424642542349627,0.258048187156806,0.0256645219867037,1176793520.71231,-0.121710841343654,-1.0905990829608,14.8245336157982,-0.0174069172312297,-0.364926580342828,4.12264800517587,-0.0447129159275406,-0.0263394837290884,0.247696562149763,0.0934903292725522,13.25395949,2.250093563,293.8209975,0.273801468,1.2e+09,5.735446743,3.496814406,0.245235122,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.424865120936834,-0.344098798377529
"9","ARSIII1.40.1","SHI-0647","No","No",640,"SS306","OR","OR3","OR3_160","160","ARS.II3.160","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",160,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",25.27315894252,"loam",42.35321198,38.38259835,-0.0307739856410993,-0.206132833721812,82.63760252,-0.668795182605565,10.6427361,-0.285186865338779,38.8876676,-0.197772012354406,21.01123385,-0.499920596420695,16.0415639,-0.625427707205116,17.9384051,-0.885246687820497,79.33733123,4.5,100,112.1,100,655.8,4.1,2.8,3.4,100,0,-0.34068302850693,3899.47112578908,-0.309633672188382,100,1,2,"Csb",0.885246687820497,0,0,0,1,0,0,0,-0.131882455187084,36.8506493506493,"low",0.05569139271971,2.67609264564942,-0.340878258058489,-0.671778431469051,437.396468151683,0.0463507242639348,-0.704428328642615,0.414778284801656,0.20450773222192,0.0792273046718326,960326887.342957,-0.388860976860215,-0.692746280744761,15.3215254070841,0.0239510981391959,-0.114419244442419,4.04827776199563,-0.0833527679119871,0.227996308639719,0.20278561153826,-0.434129142361531,19.26418967,2.745976796,330.2227283,0.302174678,1.02e+09,8.576427998,3.840095996,0.221096149,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.430651201432333,-0.20845977833396
"10","ARSIII2.80.1","SHI-0646","No","No",639,"SS305","OR","OR3","OR3_240","240","ARS.II4.240","43308","in-season",44.565394,-123.12915,0,15,"cropland.perennial","perennial","None","Hops",1,"0",2016-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2016-07-27,2018-07-27,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,1970-01-01,2018-07-27,0,100,100,"Hops","Hops","Zone till","0",0,"0",0,"0",0,"0",240,0,0,0,"0",0,0,"0",0,"0",0,"0",0,"0",24.2617996378,"loam",47.50514394,35.90590973,-0.35436146542558,-0.33157558692475,78.28755356,-0.854710329698717,9.359660219,-0.382696486177083,33.81949832,-0.573219107038994,16.33827719,-0.82651484329721,12.82678883,-0.817357117300369,14.56094946,-1.11900774908763,53.62175867,4.7,100,103.1,100,661.6,5.4,2.9,2.8,100,0,-0.667682098733582,3982.05135375,-0.352855913691991,100,1,2,"Csb",1.11900774908763,0,0,0,1,0,0,0,-0.162043743089458,34.4155844155844,"low",-0.205564941499655,2.88475129854932,-0.177131544677428,-0.727740540439173,413.208041275599,-0.0896165768611954,-0.823037721233236,0.378302007324023,-0.00347712206397388,0.0553857090326023,946269083.769539,-0.408241622724593,-0.869836513157256,15.2143504535944,0.0151261834585388,-0.225923806151021,3.59261002886999,-0.347295300887973,0.114787643699989,0.201847119185509,-0.446363230624739,16.58894633,2.62434506,304.7415167,0.259614864,987000000.000002,7.259297081,3.263856172,0.2108262,1.1302204584626,-0.73654029538897,-0.487750094208512,8,3,0.0970427731716279,66.7910447761194,"high",-0.467512374193943,-0.170592005002826
