"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","ta1","ta2","ta3"
"EC:1.1.1.1","EC:1.1.1.1",5,122,0.000278579397384262,2.20802743096771e-17,0.186824639508086,"M5",-1.3808379941519,0.48,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.100","EC:1.1.1.100",5,0,0.22916666480441,9.76141332922061e-17,0.188132453072438,"M33",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.103","EC:1.1.1.103",114,6383,0.000357589605668987,2.10288326758829e-16,0.0294742105181292,"M2",0.582578788519594,0.425515543244075,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.105","EC:1.1.1.105",66,292,0.000312844591078645,1.58767686702916e-16,0.00605915539888118,"M1",0.905286177692514,0.140036730945822,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.107","EC:1.1.1.107",5,0,0.222954998261246,9.6755988531062e-17,4.58000520392552e-05,"M34",0.645497224367902,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.108","EC:1.1.1.108",5,11978,0.000196485768436825,8.87906650142498e-17,0.00511254442039326,"M15",0.887411967464942,0.32,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.11","EC:1.1.1.11",1,0,1.230653103406,1.80231285665901e-17,0.000416133841638828,"M127",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.122","EC:1.1.1.122",25,24,0.000267110082695897,1.50290438530451e-16,0.0312468082234288,"M1",-0.328142111317116,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.125","EC:1.1.1.125",6,0,0.000251300066226294,5.82235804713509e-17,0.0257989398773179,"M2",-1.03983637840638,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.133","EC:1.1.1.133",27,71,0.0002788583070546,0,0.147513949050676,"M1",-0.259618317483248,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.136","EC:1.1.1.136",83,922,0.000297265719673229,1.68230661407063e-16,0.0264139906904469,"M2",0.671478249721017,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.137","EC:1.1.1.137",100,11,0.00768927762415748,0.776512500403085,0.000318397445835081,"M3",0.379112806733519,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.14","EC:1.1.1.14",12,160,0.000260612685523739,5.40835290382864e-17,0.06636911392819,"M1",-0.77354677123726,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.145","EC:1.1.1.145",14,0,0.000191384035232737,2.27790620087773e-16,0.00165929539820046,"M5",1.10919773300727,0.13265306122449,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.157","EC:1.1.1.157",169,6242,0.000357349992752007,0,0.16605790514827,"M2",2.58281666555162,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.159","EC:1.1.1.159",5,641,0.000167172299672402,9.38956102006534e-17,0.00783539000376157,"M4",-0.897265510113372,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.163","EC:1.1.1.163",2,0,0.69604774542666,3.67366399341936e-17,2.2494819468467e-05,"M75",NA,NA,NA,"t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.17","EC:1.1.1.17",90,2902,0.000301222122737074,1.59293407519813e-16,0.015865696732182,"M1",1.89888118828361,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.173","EC:1.1.1.173",5,0,0.000249516573171996,7.41266351824874e-17,0.000547947589764356,"M2",-1.06206124370674,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.18","EC:1.1.1.18",80,375.5,0.000305700686051888,1.67704940590166e-16,0.0341912623540459,"M1",1.55626221911426,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.193","EC:1.1.1.193",12,7918,0.000145217404999916,1.8895584788274e-16,0.185785390770747,"M9",1.18177717319761,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.203","EC:1.1.1.203",16,2318,0.00024981936506494,1.61215574256593e-16,0.0207077314872756,"M1",-0.636499183569524,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.205","EC:1.1.1.205",6,2,0.130571937395753,9.21505764016976e-17,0.188107826988384,"M19",0,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.206","EC:1.1.1.206",80,380,0.000336465222097567,1.00938396844238e-16,0.00246674900901228,"M2",0.560353923219238,0.04875,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.21","EC:1.1.1.21",20,69,0.00027295744758428,1.86105169181564e-16,0.00210926789090984,"M2",-0.728688264201401,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.215","EC:1.1.1.215",9,80,0.000283705480681188,4.52119902531483e-17,0.00364420992754476,"M2",-0.995386647805671,0.197530864197531,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.219","EC:1.1.1.219",48,809,0.000298661562864911,4.24782420052835e-16,0.0216116020004048,"M2",-0.106392035791437,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.23","EC:1.1.1.23",8,2660,0.000215886739235887,1.27754265699871e-16,0.18688473417516,"M17",0.934198732993827,0.21875,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.25","EC:1.1.1.25",7,1338,0.000176945145975934,1.06799619213482e-16,0.187279688138231,"M17",0.934198732993827,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.251","EC:1.1.1.251",7,1,0.019227695982698,9.78139473584887e-17,6.45096770696433e-06,"M7",-1.06633803084966,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.26","EC:1.1.1.26",4,32,0.000235438368871069,5.12084933208806e-17,0.0624534879113308,"M1",-1.1161657404066,0.5,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.261","EC:1.1.1.261",16,46,0.00023072492713446,2.60131178113942e-16,0.00938231339462246,"M1",-0.636499183569524,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.262","EC:1.1.1.262",182,12237,0.000369526841468423,1.34584529125651e-16,0.0749308524370449,"M2",2.87173991445624,0,"Module hubs","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.264","EC:1.1.1.264",53,25,0.000287969050133998,0,0.0137843496028158,"M1",0.631191002357041,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.267","EC:1.1.1.267",8,10,0.000142223790021803,1.33596625363197e-16,0.18241382659009,"M9",0.0815018740136282,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.27","EC:1.1.1.27",89,6016,0.000295165977715425,2.28688555350227e-16,0.0214182575536282,"M1",1.86461929136667,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.271","EC:1.1.1.271",61,1483,0.000305704593763944,0,0.0504232146781884,"M2",0.182531213113189,0,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
"EC:1.1.1.275","EC:1.1.1.275",10,5875,0.000223298740195735,1.13333907980139e-16,0.00271742517237694,"M1",-1.0133800496558,0.5,"Peripheral nodes","t__Oxidoreductases.","t__Acting on the CH-OH group of donors.","t__With NAD(+) or NADP(+) as acceptor."
