"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:1.1.1.103","EC:1.1.1.103",1,0,0.0113317635247179,0,0.0199177082121568,"M5",-1.26002200153146,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.103"
"EC:1.1.1.105","EC:1.1.1.105",12,0,0.0168936643470647,0,0.00461197690826674,"M5",0.928437264286338,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.105"
"EC:1.1.1.107","EC:1.1.1.107",3,0,0.338156615410345,0,1.4983877237996e-05,"M40",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.107"
"EC:1.1.1.136","EC:1.1.1.136",5,9,0.00301254193540846,0,0.0198448070753289,"M2",-0.527421940289865,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.136"
"EC:1.1.1.137","EC:1.1.1.137",2,4,0.119713366070882,4.06852848431824e-18,0.00024050765514218,"M26",0.408248290463863,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.137"
"EC:1.1.1.145","EC:1.1.1.145",5,0,0.117534977206302,0,0.00118980677323576,"M14",0.25,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.145"
"EC:1.1.1.17","EC:1.1.1.17",1,0,1.04088406089579,0,0.011826622684729,"M202",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.17"
"EC:1.1.1.173","EC:1.1.1.173",2,0,0.5,4.06852848431824e-18,0.000358902817706077,"M66",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.173"
"EC:1.1.1.18","EC:1.1.1.18",7,112,0.00800504445475785,0,0.0392813467613017,"M4",1.18262285752667,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.18"
"EC:1.1.1.205","EC:1.1.1.205",5,384,0.00795656504698102,0,0.194352521011759,"M4",0.344543667153438,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.205"
"EC:1.1.1.206","EC:1.1.1.206",5,10,0.0195136658035196,0,0.0017818762914718,"M7",0.0811417755648218,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.206"
"EC:1.1.1.21","EC:1.1.1.21",1,0,1.06195137118423,2.03426424215912e-18,0.0016022314404907,"M184",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.21"
"EC:1.1.1.23","EC:1.1.1.23",1,0,0.0119803797000747,0,0.142992471716028,"M6",-2.05285253497094,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.23"
"EC:1.1.1.251","EC:1.1.1.251",1,0,1.01912004886851,0,2.59912901258645e-06,"M85",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.251"
"EC:1.1.1.261","EC:1.1.1.261",2,0,0.154781463168974,0,0.00571205050766092,"M30",0,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.261"
"EC:1.1.1.262","EC:1.1.1.262",1,0,0.00371746679154681,0,0.0618285900642227,"M2",-1.07747254468458,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.262"
