"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","kingdom","phylum","class","order"
"EC:2.7.7.7","EC:2.7.7.7",0,0,NA,0,1.307422980815,"M107","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.7"
"EC:1.6.5.3","EC:1.6.5.3",0,0,NA,0,1.28099364468827,"M108","k__Oxidoreductases.","p__Acting on NADH or NADPH.","c__With a quinone or similar compound as acceptor.","o__EC:1.6.5.3"
"EC:3.6.4.12","EC:3.6.4.12",0,0,NA,0,1.18121658456925,"M109","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on ATP; involved in cellular and subcellular movement.","o__EC:3.6.4.12"
"EC:2.7.13.3","EC:2.7.13.3",0,0,NA,0,0.973562667861055,"M110","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-histidine kinases.","o__EC:2.7.13.3"
"EC:1.1.1.100","EC:1.1.1.100",0,0,NA,0,0.778261474156798,"M111","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.100"
"EC:2.7.11.1","EC:2.7.11.1",0,0,NA,0,0.66559809978104,"M112","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Protein-serine/threonine kinases.","o__EC:2.7.11.1"
"EC:5.2.1.8","EC:5.2.1.8",0,0,NA,0,0.564093026456819,"M113","k__Isomerases.","p__Cis-trans-isomerases.","c__Cis-trans isomerases.","o__EC:5.2.1.8"
"EC:1.9.3.1","EC:1.9.3.1",0,0,NA,0,0.545416896903806,"M114","k__Oxidoreductases.","p__Acting on a heme group of donors.","c__With oxygen as acceptor.","o__EC:1.9.3.1"
"EC:2.7.7.6","EC:2.7.7.6",0,0,NA,0,0.531854486872322,"M115","k__Transferases.","p__Transferring phosphorus-containing groups.","c__Nucleotidyltransferases.","o__EC:2.7.7.6"
"EC:2.3.1.9","EC:2.3.1.9",0,0,NA,0,0.487247040646544,"M116","k__Transferases.","p__Acyltransferases.","c__Transferring groups other than amino-acyl groups.","o__EC:2.3.1.9"
"EC:1.2.4.1","EC:1.2.4.1",0,0,NA,0,0.479567535922642,"M117","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With a disulfide as acceptor.","o__EC:1.2.4.1"
"EC:4.2.1.17","EC:4.2.1.17",0,0,NA,0,0.451608877049937,"M118","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.17"
"EC:4.2.99.18","EC:4.2.99.18",3,4,0.1556062508786,0,0.423810336857572,"M18","k__Lyases.","p__Carbon-oxygen lyases.","c__Other carbon-oxygen lyases.","o__EC:4.2.99.18"
"EC:2.2.1.6","EC:2.2.1.6",0,0,NA,0,0.419833228986598,"M119","k__Transferases.","p__Transferring aldehyde or ketonic groups.","c__Transketolases and transaldolases.","o__EC:2.2.1.6"
"EC:1.2.99.2","EC:1.2.99.2",0,0,NA,0,0.394662457424473,"M120","k__Oxidoreductases.","p__Acting on the aldehyde or oxo group of donors.","c__With other acceptors.","o__EC:1.2.99.2"
"EC:3.6.1.27","EC:3.6.1.27",0,0,NA,0,0.382526899619027,"M121","k__Hydrolases.","p__Acting on acid anhydrides.","c__In phosphorus-containing anhydrides.","o__EC:3.6.1.27"
"EC:5.1.3.2","EC:5.1.3.2",0,0,NA,0,0.374458499522324,"M122","k__Isomerases.","p__Racemases and epimerases.","c__Acting on carbohydrates and derivatives.","o__EC:5.1.3.2"
"EC:3.6.3.17","EC:3.6.3.17",0,0,NA,0,0.366123590390221,"M123","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.17"
"EC:5.4.2.12","EC:5.4.2.12",0,0,NA,0,0.345311423320072,"M124","k__Isomerases.","p__Intramolecular transferases.","c__Phosphotransferases (phosphomutases).","o__EC:5.4.2.12"
"EC:3.6.3.14","EC:3.6.3.14",0,0,NA,0,0.344346063379321,"M125","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.14"
"EC:2.8.1.7","EC:2.8.1.7",0,0,NA,0,0.342522295053829,"M126","k__Transferases.","p__Transferring sulfur-containing groups.","c__Sulfurtransferases.","o__EC:2.8.1.7"
"EC:3.4.16.4","EC:3.4.16.4",0,0,NA,0,0.341755971712325,"M127","k__Hydrolases.","p__Acting on peptide bonds (peptidases).","c__Serine-type carboxypeptidases.","o__EC:3.4.16.4"
"EC:1.1.1.1","EC:1.1.1.1",0,0,NA,0,0.329374112549183,"M128","k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.1"
"EC:1.3.5.4","EC:1.3.5.4",1,0,1.04959516289344,0,0.324025412956431,"M79","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a quinone or related compound as acceptor.","o__EC:1.3.5.4"
"EC:1.3.5.1","EC:1.3.5.1",1,0,1.04959516289344,0,0.31453267749543,"M79","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a quinone or related compound as acceptor.","o__EC:1.3.5.1"
"EC:5.4.99.2","EC:5.4.99.2",1,0,1.05046062652345,0,0.305581331708211,"M78","k__Isomerases.","p__Intramolecular transferases.","c__Transferring other groups.","o__EC:5.4.99.2"
"EC:3.6.3.34","EC:3.6.3.34",0,0,NA,0,0.297931459847832,"M129","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on acid anhydrides; catalyzing transmembrane movement of substances.","o__EC:3.6.3.34"
"EC:1.8.1.4","EC:1.8.1.4",0,0,NA,0,0.286494045381361,"M130","k__Oxidoreductases.","p__Acting on a sulfur group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.8.1.4"
"EC:4.2.1.20","EC:4.2.1.20",0,0,NA,0,0.285869739500478,"M131","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.20"
"EC:3.6.4.13","EC:3.6.4.13",0,0,NA,0,0.282753597730343,"M132","k__Hydrolases.","p__Acting on acid anhydrides.","c__Acting on ATP; involved in cellular and subcellular movement.","o__EC:3.6.4.13"
"EC:3.1.4.46","EC:3.1.4.46",0,0,NA,0,0.282382498901798,"M133","k__Hydrolases.","p__Acting on ester bonds.","c__Phosphoric diester hydrolases.","o__EC:3.1.4.46"
"EC:1.3.8.7","EC:1.3.8.7",0,0,NA,0,0.27846849217441,"M134","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With a flavin as acceptor.","o__EC:1.3.8.7"
"EC:3.1.26.4","EC:3.1.26.4",1,0,1.10556522101724,0,0.275652609622132,"M59","k__Hydrolases.","p__Acting on ester bonds.","c__Endoribonucleases producing 5'-phosphomonoesters.","o__EC:3.1.26.4"
"EC:4.2.1.33","EC:4.2.1.33",1,0,1.0302799709876,0,0.27487076257745,"M85","k__Lyases.","p__Carbon-oxygen lyases.","c__Hydro-lyases.","o__EC:4.2.1.33"
"EC:2.1.1.72","EC:2.1.1.72",0,0,NA,0,0.274428689279589,"M135","k__Transferases.","p__Transferring one-carbon groups.","c__Methyltransferases.","o__EC:2.1.1.72"
